TIPO DE PRODUCTO,RAZON SOCIAL VISITADA,ENTIDAD,INCUMPLIMIENTO
WHISKY,LA BOMBILLA VINOS SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,TIENDAS EXTRA S.A DE C.V,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
WHISKY,TIENDAS EXTRA S.A DE C.V,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BEBIDAS,FARMACIAS BENAVIDES S.A.B. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
JUGOS,FARMACIAS BENAVIDES S.A.B. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,CADENA COMERCIAL OXXO  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,CADENA COMERCIAL OXXO  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
HUEVO,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ACEITE COMESTIBLE,BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
MEDICAMENTOS,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
LECHE,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TRAJE DE BA—O,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TRAJE DE BA—O,DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TRAJE DE BA—O,SEARS OPERADORA DE MEXICO  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TRAJE DE BA—O,SEARS OPERADORA DE MEXICO  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TRAJE DE BA—O,DISTRIBUIDORA LIVERPOOL  SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TRAJE DE BA—O,DISTRIBUIDORA LIVERPOOL  SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
RON,LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,EL DIVINO - OH PRODUCTIONS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BEBIDA ALCOHOLICA,HARD,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BEBIDA ALCOHOLICA,HARD,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,SANTISIMA- AROB  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,SANTISIMA- AROB  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,LA MANSION - RICHYCARLS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LA MANSION - RICHYCARLS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA REPOSADO,LA MAJADA-ILIANA RODRIGUEZ GARCIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,LA MAJADA-ILIANA RODRIGUEZ GARCIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,EL COSTE—ITO - CANGREJITO PLAYERO S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,EL COSTE—ITO - CANGREJITO PLAYERO S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,SAN PANCHO - HUGO SANDOVAL RUVALCABA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,SAN PANCHO - HUGO SANDOVAL RUVALCABA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,MANDALA - GRUPO ANTROMEX DE OCCIDENTE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,MANDALA - GRUPO ANTROMEX DE OCCIDENTE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,MOJITO ROYAL - OPERADORA DE SERVICIOS INTEGRALES EH DIVERSION S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,MOJITO ROYAL - OPERADORA DE SERVICIOS INTEGRALES EH DIVERSION S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,CIELITO LINDO- MARIA DEL SOCORRO JIMENEZ GARCIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,CIELITO LINDO- MARIA DEL SOCORRO JIMENEZ GARCIA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,SINCLAIR - OPERADORA DE SERVICIOS INTEGRALES EN DIVERSION S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,SINCLAIR - OPERADORA DE SERVICIOS INTEGRALES EN DIVERSION S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,LA ULTIMA LUNA - FRANCISCO PADILLA RAMIREZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,LA ULTIMA LUNA - FRANCISCO PADILLA RAMIREZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,MICHELADAS GALERIAS - ENRIQUE EDUARDO ROJERO GONZALEZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,CSP DE AGUASCALIENTES S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,FAVELA - JULIO TORRE LOMELI,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LA CANTINA DE ANTA—O - JOSE LUIS MAGA—A GONZALEZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,KARNES EN SU JUGO - ALDE ROSA MARTINEZ PEREZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,MERENDERO SAN PANCHO - EXQUISIMAR S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,BURANA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LOS RIELES,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,GRUPO PERA DEL CENTRO S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
WHISKY,SONORA'S MEAT BOUTIQUE DE CORTES FINOS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LA MEXICO - CESAR ROBERTO LUEVANO ZARATE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
JUGUETES,DISTRIBUIDORA JUGUETRON  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,CARNITAS SAN PANCHO - SIGELFREDO DURAN ESPARZA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,SINATRA LIVE - MARIOLLA S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,SINATRA LIVE - MARIOLLA S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DEL HOGAR,CROWN BACCARA- ESTHER ZAMORA MENDOZA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
WHISKY,THAI AGUASCALIENTES  S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,LA MANSION- RICHYCARLS  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,WING'S AIR FORCE- FRANQUICIAS WING'S AIR FORCE  S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ZAPATOS,ZAPATERIAS TANIA -ISABEL PATRICIA RODRIGUEZ AGUAYO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE COCINA,TIENDAS SORIANA S. A . DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS DE COCINA,COPPEL SA DE CV,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CHOCOLATE,DULCERIA LA CHACHITA / HECTOR JAVIER DE ALBA PEREZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,MARISCOS EL MELON-JORGE ALBERTO RODRIGUEZ GOMEZ,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
VEHICULOS,CENTRO LLANTERO NACOZARI  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
RON,EL MUELLE SEA FOOD BAR- SOMOS LOS QUE ESTAMOS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,RESTAURANTE AUGUSTOÔS S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ARROZ,TIENDAS CHEDRAUI  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
VODKA,MERENDERO SAN MARCOS - ROSENDO DE ANDA TERAN,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
DETERGENTE LIQUIDO,NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS PARA PIEL Y CALZADO,DPORTENIS- COMERCIAL DPORTENIS  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS PARA PIEL Y CALZADO,INNOVA SPORT- INNOVA SPORT  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
APARATOS ELECTRONICOS,DEL SOL- GRUPO COMERCIAL CONTROL  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
COMPUTADORAS PERSONALES,OFFICE DEPOT DE MEXICO  S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
BRANDY,SUSHITO - JUAN FERNANDO OROZCO CARDONA,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,CAFEZZITO - CAFEZZITO AGUASCALIENTES S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
CERVEZA,PIZZAS LAS CUADRADAS - COMERCIALIZADORA DEL CENTRO S.A. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS ELECTRONICOS,SANBORN HERMANOS  S.  A.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
ACCESORIOS PARA AUTOS,AUTOZONE DE MEXICO S. DE R.L. DE C.V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
APARATOS ELECTRONICOS,COMPONENTES ELECTRONICOS DE AGUASCALIENTES  S. A. DE C. V.,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
JOYERIA,COMPRA Y VENTA DE ORO Y PLATA- GUADALUPE ALEJANDRA ROMO AGUIRRE,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
JOYERIA,JOYERIA GELY - MARIA AUXILIO CHAVEZ MURILLO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
JOYERIA,JOYERIA GELY - MARIA AUXILIO CHAVEZ MURILLO,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
JOYERIA,JOYAS NERI - MARIA GUADALUPE NERI SANTOS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
JOYERIA,JOYAS NERI - MARIA GUADALUPE NERI SANTOS,AGUASCALIENTES,NO SE DETECTO INCUMPLIMIENTO
HERRAMIENTAS,FERRETERIA LA GLORIA S. DE R. L. DE C.V.,BAJA CALIFORNIA,Carece de la informacion comercial obligatoria
HERRAMIENTAS,FERRETERIA HIPODROMO S DE RL DE CV,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ENLATADOS,DISTRIBUIDORA EL FLORIDO  S.A DE C.V.,BAJA CALIFORNIA,Producto Caducado
DULCES Y GOLOSINAS,SUPER DAX LOS ENCINOS,BAJA CALIFORNIA,Carece de fecha de caducidad
MEDICAMENTOS,FARMACIAS ROMA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS  DE LIMPIEZA,AUTOZONE DE MEXICO S. DE R.L. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
HERRAMIENTAS,FIX FERRETERIAS,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
DULCES Y GOLOSINAS,DULCERIA YANET S. DE R.L. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,MERCADO EL AGUAJE,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS ESCOLARES,PAPELERIA Y MISCELANEA MARA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
MEDICAMENTOS,FARMACIAS DEL AHORRO,BAJA CALIFORNIA,Carece del precio maximo al publico en caracteres legibles e indelebles.
WHISKY,BAREZZITO DE LA FRONTERA S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,BAREZZITO DE LA FRONTERA S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ARTICULOS PARA BEBE,WALDOÔS DOLAR MART DE MEXICO S  DE R.L. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
BEBIDAS,WALDOÔS DOLAR MART DE MEXICO S  DE R.L. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
DULCES Y GOLOSINAS,DULCERIA EL MOLINO,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,DISTRIBUIDORA EL FLORIDO S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,MOTEL VIA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,SERVICIOS DE HOTELERIA EL SOLER S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
WHISKY ESCOCES,SERVICIOS DE HOTELERIA EL SOLER S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
LICOR,MOTEL VILLA DORADA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,MOTEL VILLA DORADA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
RON,MOTEL ENSUE—O,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
TEQUILA,MOTEL ENSUE—O,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
WHISKY ESCOCES,MOTEL BALANDRA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
WHISKY ESCOCES,MOTEL SCALA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
SUPLEMENTO ALIMENTICIO,FARMACIA GUSHER S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
SUPLEMENTO ALIMENTICIO,FARMACIA GUSHER  S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
VODKA,REYES SALON CANTINA TJ,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,DISTRIBUIDORA EL FLORIDO S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,DISTRIBUIDORA EL FLORIDO S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,PESCADERIA LAS PLAYAS,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,ABARROTES Y CARNICERIA JORGE,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,MERCADO Y CARNICERIA EL MAIKY,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,MERCADO Y CARNICERIA EL MAIKY,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,MERCADO EMILIA # 1,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,MERCADO EMILIA # 1,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,MERCADO DIAZ,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,MERCADO DIAZ,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,MERCADO BENYS Y/O RODRIGUEZ VALENCIA BENITO,BAJA CALIFORNIA,Producto Caducado
CERVEZA,SUSHI FACTORY S.A. DE C.V.,BAJA CALIFORNIA,Carece de la lista de ingredientes
ATUN,MERCADO MINERVA II,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,BODEGA AURRERA QUINTAS DEL REFUGIO,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
LENCERIA,SEXY ROSA BOUTIQUE,BAJA CALIFORNIA,Carece de nombre y domicilio fiscal del fabricante o importador
PRESERVATIVOS,SEXY ROSA BOUTIQUE,BAJA CALIFORNIA,Carece del nombre o denominacion generica del producto
PRODUCTOS ALIMENTICIOS,TIENDAS SORIANA S.A. DE C.V. SUCURSAL GERANEOS,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,TIENDAS SORIANA S.A. DE C.V. SUCURSAL GERANEOS,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,EMPRESAS MARIA LUISA S. DE R.L. DE C.V.,BAJA CALIFORNIA,Carece de toda informacion comercial  en el producto
PRODUCTOS ALIMENTICIOS,TIENDAS SORIANA  S.A. DE C.V. ( SUCURSAL FLORIDO),BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CALIMAX SANCHEZ TABOADA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,CALIMAX SANCHEZ TABOADA,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CASA LEY  S.A DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,CASA LEY  S.A DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PAN,BODEGA AURRERA UNIDAD  DELICIAS,BAJA CALIFORNIA,Carece de toda informacion comercial  en el producto
PRODUCTOS ALIMENTICIOS,SMART & FINAL SUCURSAL 521,BAJA CALIFORNIA,Ostenta el Pais de Origen en Idioma Distinto al Espa§ol
PRODUCTOS ALIMENTICIOS,BODEGA AURRERA UNIDAD EL  AGUILA,BAJA CALIFORNIA,No indica veracidad de la informaci¢n comercial
PRODUCTOS ALIMENTICIOS,CALIMAX CETYS,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,CALIMAX CETYS,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
ATUN,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.,BAJA CALIFORNIA,NO SE DETECTO INCUMPLIMIENTO
PRODUCTOS ALIMENTICIOS,CASA LEY S.A. DE C.V.,BAJA CALIFORNIA,Ostenta la informaci¢n comercial en idioma distinto al Espa§ol
PRODUCTOS ALIMENTICIOS,CALIMAX SAN QUINTIN,BAJA CALIFORNIA,La informaci¢n  nutrimental  se encuentra en otro idioma distinto al espa§ol
